SRA	ID	Substrate	Country	GeographicOrigin	Latitude	Longitude	HOST_TYPE	HOST_ORDER	HOST_FAMILY	HOST_GENUS	HOST_NAME	Study	Pop	Pop_clade
ERR11580197	ERR11580197	Insect frass	Thailand	Tong Pha Phum, Kanchanaburi, Thailand	14.77273	98.74811	insect	NA	NA	NA	NA	ERP148425	THAI-II	THAI-II
ERR11580212	ERR11580212	Coconut inflorescence sap	Thailand	Bang Khont, Sa Mut Songkhram, Thailand	13.47262	99.95768	plant	Arecales	Arecaceae	NA	NA	ERP148425	Philippines	Philippines
ERR11580211	ERR11580211	Coconut inflorescence sap	Thailand	Mueang, Samut Songkhram, Thailand	13.41329	100.01359	plant	Arecales	Arecaceae	NA	NA	ERP148425	Philippines	Philippines
ERR11580216	ERR11580216	Nypa palm fruit stem sap	Thailand	Pak Phanang, Nakhon Si Thammarat, Thailand	8.34421	100.18993	plant	Arecales	Arecaceae	Nypa	Nypa fruticans	ERP148425	Philippines	Philippines
ERR11580215	ERR11580215	Nypa palm fruit stem sap	Thailand	Kantang, Trang, Thailand	7.40628	99.51729	plant	Arecales	Arecaceae	Nypa	Nypa fruticans	ERP148425	Philippines	Philippines
ERR11580214	ERR11580214	Toddy palm inflorescence sap	Thailand	Ban Lat, Phetchaburi, Thailand	13.05535	99.83481	plant	Arecales	Arecaceae	NA	NA	ERP148425	Philippines	Philippines
ERR11580213	ERR11580213	Toddy palm inflorescence sap	Thailand	Sankhaburi, Chai Nat, Thailand	15.01326	100.19273	plant	Arecales	Arecaceae	NA	NA	ERP148425	Philippines	Philippines
ERR11580200	ERR11580200	Wood in decomposition (Hybrid S.cer x S.par)	Brazil	Parque Estadual do Rio Doce - MG	-19.75711	-42.63517	plant	NA	NA	NA	NA	ERP148425	Brazil_Wild.B1	Brazil_Wild.B1
ERR11580201	ERR11580201	Wood in decomposition (Hybrid S.cer x S.par)	Brazil	Parque Nacional do Iguaçu - Foz do Iguaçu- PR	-25.61535	-54.47876	plant	NA	NA	NA	NA	ERP148425	Brazil_Wild.B1	Brazil_Wild.B1
ERR1111486	ERR1111486	Tapirira guianensis	Brazil	Brazil, Riparian forest of Corrego, Buritizal	-12.3849291	-46.5933382	plant	Sapindales	Anacardiaceae	Tapirira	Tapirira guianensis	ERP013106	Wine_EU_AUS_mosaic	Wine_Clade
ERR1111487	ERR1111487	Tapirira guianensis	Brazil	Brazil, Riparian forest of Corrego, Buritizal, Tocantins	-12.3849291	-46.5933382	plant	Sapindales	Anacardiaceae	Tapirira	Tapirira guianensis	ERP013106	Brazil_Wild.B1	Brazil_Wild.B1
ERR1111490	ERR1111490	Mushroom	Brazil	Brazil, Serra da Prata, Mucajai, Roraima	-14.5746367	-50.4950294	fungi	NA	NA	NA	NA	ERP013106	Brazil_Wild.B1	Brazil_Wild.B1
ERR1111493	ERR1111493	Tapirira guianensis	Brazil	Brazil, Bela Vista, Taquarucu	-24.783333	-51.083333	plant	Sapindales	Anacardiaceae	Tapirira	Tapirira guianensis	ERP013106	Wine_EU_AUS_mosaic	Wine_Clade
ERR1111494	ERR1111494	soil	Brazil	Brazil, Amazonia	-24.783333	-51.083333	soil	NA	NA	NA	NA	ERP013106	TW3a;Asian_Oak_mosaic	Wild_TW
ERR1111495	ERR1111495	Tapirira guianensis	Brazil	Brazil, Taguatinga, Tocantins	-10.2672778	-48.2070833	plant	Sapindales	Anacardiaceae	Tapirira	Tapirira guianensis	ERP013106	Brazil_Wild.B3	Brazil_Wild.B3
ERR1111497	ERR1111497	Tapirira guianensis	Brazil	Brazil, Bela Vista, Taquarucu, Tocantins	-10.2672778	-48.2070833	plant	Sapindales	Anacardiaceae	Tapirira	Tapirira guianensis	ERP013106	Brazil_Wild.B1	Brazil_Wild.B1
ERR1308587	ERR1308587	fruiting body	Taiwan	Dongpu_Sinyi Township_Nantou_Taiwan	23.561346	120.924377	fungus	Geastrales	Geastraceae	Geastrum	NA	ERP014555	TW4b	TW4b
ERR1308588	ERR1308588	Wine	Argentina	Mendoza area_Argentina	-32.8894587	-68.8458386	fermentation	NA	NA	NA	NA	ERP014555	Mediterranean_Oak	Mediterranean_Oak
ERR1308615	ERR1308615	Tree	Taiwan	Tuchih_Nantou_Taiwan	23.8753852	120.9187827	plant	Fabales	Fabaceae	Acacia	NA	ERP014555	Beer_Mixed_Origins	Beer_Mixed_Origins
ERR1308661	ERR1308661	Wine	Spain	La Mancha_Spain	39.2795607	-3.097702	fermentation	NA	NA	NA	NA	ERP014555	Wine_EU_AUS	Wine_EU_AUS
